Code_INSEE;Nom_commune;Code_postal;coordonnees_gps;Population
90078;PETITEFONTAINE;90360;47.7238, 7.00757;196
90089;ROUGEMONT LE CHATEAU;90110;47.746, 6.95213;1518
90091;ST GERMAIN LE CHATELET;90110;47.7003, 6.96115;663
90093;SERMAMAGNY;90300;47.6878, 6.83091;836
90105;VILLARS LE SEC;90100;47.4554, 6.98804;169
91016;ANGERVILLE;91670;48.3096, 2.00619;4270
91022;ARRANCOURT;91690;48.3267, 2.15156;152
91093;BOULLAY LES TROUX;91470;48.6754, 2.04828;652
91100;BOUVILLE;91880;48.4326, 2.27839;667
91109;BRIERES LES SCELLES;91150;48.4637, 2.1429;1215
91121;BUNO BONNEVAUX;91720;48.3569, 2.40696;466
91122;BURES SUR YVETTE;91440;48.693, 2.15839;9883
91129;CERNY;91590;48.486, 2.31068;3470
91136;CHAMPLAN;91160;48.7084, 2.27815;2879
91137;CHAMPMOTTEUX;91150;48.3439, 2.31485;379
91148;CHAUFFOUR LES ETRECHY;91580;48.5079, 2.16844;140
91184;COURDIMANCHE SUR ESSONNE;91720;48.418, 2.36344;263
91186;COURSON MONTELOUP;91680;48.5982, 2.14131;601
91200;DOURDAN;91410;48.5359, 1.9943;10843
91215;EPINAY SOUS SENART;91860;48.6872, 2.51577;12691
91216;EPINAY SUR ORGE;91360;48.6726, 2.31835;11129
91232;LA FERTE ALAIS;91590;48.4812, 2.36735;3968
91243;FONTENAY LES BRIIS;91640;48.6108, 2.16461;2043
91244;FONTENAY LE VICOMTE;91540;48.5468, 2.40068;1260
91248;LA FORET STE CROIX;91150;48.3841, 2.23053;164
91294;GUILLERVAL;91690;48.3683, 2.07601;825
91326;JUVISY SUR ORGE;91260;48.6919, 2.37394;16544
91339;LINAS;91310;48.6255, 2.25135;6950
91340;LISSES;91090;48.5967, 2.42469;7704
91386;MENNECY;91540;48.5586, 2.43753;14291
91390;MEREVILLE;91660;48.3184, 2.0737;3213
91399;MESPUITS;91150;48.3583, 2.2766;210
91408;MOIGNY SUR ECOLE;91490;48.4371, 2.43964;1282
91435;MORSANG SUR SEINE;91250;48.5768, 2.50087;589
91441;NAINVILLE LES ROCHES;91750;48.5047, 2.49555;462
91461;OLLAINVILLE;91340;48.6063, 2.21888;4790
91471;ORSAY;91400;48.7004, 2.18737;16856
91471;ORSAY;91400;48.7004, 2.18737;16856
91521;RIS ORANGIS;91130;48.6452, 2.40794;28048
91538;ST AUBIN;91190;48.715, 2.13953;718
91540;ST CHERON;91530;48.5492, 2.12663;5099
91570;ST MICHEL SUR ORGE;91240;48.632, 2.3117;20337
91577;SAINTRY SUR SEINE;91250;48.593, 2.49419;5712
91581;ST YON;91650;48.5611, 2.19244;889
91635;VAUHALLAN;91430;48.7308, 2.19905;1972
91639;VAYRES SUR ESSONNE;91820;48.4315, 2.34569;976
91661;VILLEBON SUR YVETTE;91140;48.6957, 2.23505;10622
91662;VILLECONIN;91580;48.5019, 2.12813;750
91665;LA VILLE DU BOIS;91620;48.661, 2.26503;7435
